rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
82,19,Andrew Forrest,61,Male,Australia,Perth,Metals & Mining,True,Increased
83,19,Ray Dalio,73,Male,United States,Greenwich,Finance & Investments,True,Decreased
84,19,Li Eric,59,Male,China,Hangzhou,Automotive,True,Decreased
84,19,Wang Wenyin,55,Male,China,Shenzhen,Metals & Mining,True,Increased
86,18,Eyal Ofer,72,Male,Israel,Monte Carlo,Diversified,False,Increased
86,18,Qin Yinglin,57,Male,China,Nanyang,Food & Beverage,True,Decreased
88,18,Wang Chuanfu,57,Male,China,Shenzhen,Automotive,True,Decreased
89,18,Harold Hamm & family,77,Male,United States,Oklahoma City,Energy,True,Increased
89,18,David Tepper,65,Male,United States,Palm Beach,Finance & Investments,True,Increased
89,18,Gennady Timchenko,70,Male,Russia,Moscow,Energy,True,Increased
92,18,Daniel Gilbert,61,Male,United States,Franklin,Finance & Investments,True,Decreased
93,17,Lakshmi Mittal,72,Male,India,London,Metals & Mining,False,Decreased
94,17,Steve Cohen,66,Male,United States,Greenwich,Finance & Investments,True,Increased
94,17,Carl Icahn,87,Male,United States,Indian Creek,Finance & Investments,True,Increased
94,17,Savitri Jindal & family,73,Female,India,Hisar,Metals & Mining,False,Decreased
97,17,Donald Bren,90,Male,United States,Newport Beach,Real Estate,True,Increased
97,17,"John Menard, Jr.",83,Male,United States,Eau Claire,Fashion & Retail,True,Increased
99,17,Rupert Murdoch & family,92,Male,United States,New York,Media & Entertainment,False,Decreased
100,16,Vicky Safra & family,70,Female,Brazil,Crans-Montana,Finance & Investments,False,Increased
101,16,"Theo Albrecht, Jr. & family",72,Male,Germany,Mulheim an der Ruhr,Fashion & Retail,False,Decreased
101,16,Renata Kellnerova & family,55,Female,Czech Republic,Prague,Finance & Investments,False,Decreased
103,16,Li Xiting,72,Male,Singapore,Shenzhen,Healthcare,True,Decreased
104,16,Stefan Persson,75,Male,Sweden,Stockholm,Fashion & Retail,False,Decreased
104,16,Eric Schmidt,67,Male,United States,Atherton,Technology,True,Decreased
106,16,Michael Platt,55,Male,United Kingdom,Geneva,Finance & Investments,True,Increased
107,15,Pang Kang,67,Male,China,Foshan,Food & Beverage,True,Decreased
108,15,Jorge Paulo Lemann & family,83,Male,Brazil,Zurich,Food & Beverage,True,Increased
108,15,Peter Woo,76,Male,Hong Kong,Hong Kong,Real Estate,False,Decreased
112,15,Dilip Shanghvi,67,Male,India,Mumbai,Healthcare,True,Remained Even
113,15,Robert Pera,45,Male,United States,San Jose,Technology,True,Increased
114,15,Radhakishan Damani,68,Male,India,Mumbai,Fashion & Retail,True,Decreased
115,15,Huang Shilin,56,Male,China,Ningde,Automotive,True,Decreased
116,14,Dhanin Chearavanont,83,Male,Thailand,Bangkok,Diversified,False,Increased
116,14,David Green & family,81,Male,United States,Oklahoma City,Fashion & Retail,True,Increased
118,14,Charoen Sirivadhanabhakdi,78,Male,Thailand,Bangkok,Food & Beverage,True,Increased
119,14,Charlene de Carvalho-Heineken & family,68,Female,Netherlands,London,Food & Beverage,False,Decreased
120,14,Xu Hang,56,Male,Hong Kong,Shenzhen,Healthcare,True,Decreased
121,14,Wei Jianjun & family,59,Male,China,Baoding,Automotive,True,Decreased
122,14,Alisher Usmanov,69,Male,Russia,Tashkent,Metals & Mining,True,Increased
123,14,Goh Cheng Liang,95,Male,Singapore,Singapore,Manufacturing,True,Increased
124,14,Kumar Birla,55,Male,India,Mumbai,Diversified,False,Decreased
124,14,Aliko Dangote,65,Male,Nigeria,Lagos,Manufacturing,True,Increased
126,14,Kwong Siu-hing,93,Female,Hong Kong,Hong Kong,Real Estate,False,Increased
127,14,Idan Ofer,67,Male,Israel,London,Diversified,False,Increased
128,13,Chen Bang,57,Male,China,Changsha,Healthcare,True,Increased
128,13,Lui Che Woo,94,Male,Hong Kong,Hong Kong,Gambling & Casinos,True,Increased
130,13,John Fredriksen,78,Male,Cyprus,London,Logistics,True,Increased
130,13,Diane Hendricks,76,Female,United States,Afton,Construction & Engineering,True,Increased
130,13,Jan Koum,47,Male,United States,Atherton,Technology,True,Increased
133,13,Jerry Jones,80,Male,United States,Dallas,Sports,True,Increased
133,13,George Kaiser,80,Male,United States,Tulsa,Energy,False,Increased
133,13,Joseph Lau,71,Male,Hong Kong,Hong Kong,Real Estate,True,Decreased
136,13,Lu Xiangyang,60,Male,China,Guangzhou,Automotive,True,Decreased
137,13,Harry Triguboff,90,Male,Australia,Sydney,Real Estate,True,Increased
138,12,Uday Kotak,64,Male,India,Mumbai,Finance & Investments,True,Decreased
138,12,Stanley Kroenke,75,Male,United States,Electra,Sports,True,Increased
140,12,Mikhail Fridman,58,Male,Russia,London,Energy,True,Increased
