rank,net_worth,full_name,age,gender,country_of_citizenship,city_of_residence,business_category,self_made,wealth_status
591,4,Li Chunan,54,Male,China,Fushun,Manufacturing,True,Decreased
591,4,Forrest Li,45,Male,Singapore,Singapore,Media & Entertainment,True,Decreased
591,4,Richard Li,56,Male,Hong Kong,Hong Kong,Telecom,False,Decreased
591,4,Issad Rebrab & family,79,Male,Algeria,Algiers,Food & Beverage,True,Decreased
591,4,Fred Smith,78,Male,United States,Memphis,Logistics,True,Decreased
591,4,Barry Sternlicht,62,Male,United States,Miami,Finance & Investments,True,Increased
591,4,Maximilian Viessmann,34,Male,Germany,Battenberg,Manufacturing,False,Decreased
591,4,Russ Weiner,52,Male,United States,Delray Beach,Food & Beverage,True,Increased
611,4,Dietmar Hopp & family,82,Male,Germany,Walldorf,Technology,True,Decreased
611,4,Jiang Bin,56,Male,China,Weifang,Technology,True,Decreased
611,4,Joseph Liemandt,54,Male,United States,Austin,Technology,True,Increased
611,4,Theo Mueller,83,Male,Germany,Zurich,Food & Beverage,False,Decreased
611,4,N.R. Narayana Murthy,76,Male,India,Bangalore,Technology,True,Increased
611,4,Odd Reitan & family,71,Male,Norway,Trondheim,Fashion & Retail,False,Decreased
611,4,Marc Rowan,60,Male,United States,New York,Finance & Investments,True,Decreased
611,4,Hussain Sajwani,70,Male,United Arab Emirates,Dubai,Real Estate,True,Increased
611,4,David Velez & family,41,Male,Colombia,Sao Paulo,Finance & Investments,True,Decreased
611,4,Xu Jinfu,59,Male,China,Guangzhou,Manufacturing,True,Decreased
611,4,Samuel Yin,72,Male,Taiwan,Taipei,Diversified,False,Decreased
611,4,You Xiaoping,65,Male,China,Wenzhou,Manufacturing,True,Decreased
624,4,Stéphane Bancel,50,Male,France,Boston,Healthcare,True,Decreased
624,4,Margot Birmingham Perot,89,Female,United States,Dallas,Technology,False,Increased
624,4,Neal Blue & family,88,Male,United States,San Diego,Manufacturing,True,Increased
624,4,Jim Davis,63,Male,United States,Cockeysville,Service,True,Increased
624,4,Rafael Del Pino,64,Male,Spain,Madrid,Construction & Engineering,False,Increased
624,4,Peter Grogg,81,Male,Switzerland,Liestal,Healthcare,True,Decreased
624,4,Christian Haub,58,Male,Germany,Munich,Fashion & Retail,False,Remained Even
624,4,Mangal Prabhat Lodha,67,Male,India,Mumbai,Real Estate,True,Decreased
624,4,Jeffrey Lurie & family,71,Male,United States,Wynnewood,Sports,False,Increased
624,4,Joe Mansueto,66,Male,United States,Chicago,Finance & Investments,True,Decreased
624,4,Qian Dongqi & family,65,Male,China,Suzhou,Manufacturing,True,Decreased
624,4,Mikhail Shelkov,54,Male,Russia,Moscow,Metals & Mining,True,Increased
636,4,Patrick Drahi,59,Male,France,Zermatt,Telecom,True,Decreased
636,4,Behdad Eghbali,46,Male,United States,Los Angeles,Finance & Investments,True,Increased
636,4,Juan Carlos Escotet,63,Male,Venezuela,A Coruña,Finance & Investments,True,Increased
636,4,Jose E. Feliciano,49,Male,United States,Los Angeles,Finance & Investments,True,Increased
636,4,Hu Kaijun,61,Male,China,Beijing,Healthcare,True,Increased
636,4,Johnelle Hunt,91,Female,United States,Fayetteville,Logistics,True,Decreased
636,4,Marian Ilitch,90,Female,United States,Bingham Farms,Food & Beverage,True,Decreased
636,4,Daryl Katz,61,Male,Canada,Edmonton,Diversified,True,Decreased
636,4,Andrei Kozitsyn,62,Male,Russia,Verkhniaya Pyshma,Metals & Mining,True,Increased
636,4,Timur Kulibaev,56,Male,Kazakhstan,Almaty,Finance & Investments,True,Increased
636,4,Dinara Kulibaeva,55,Female,Kazakhstan,Almaty,Finance & Investments,False,Increased
636,4,Gwendolyn Sontheim Meyer,61,Female,United States,Rancho Santa Fe,Food & Beverage,False,Decreased
636,4,Jay Paul,75,Male,United States,San Francisco,Real Estate,True,Increased
636,4,Pham Nhat Vuong,54,Male,Vietnam,Hanoi,Diversified,True,Decreased
636,4,Jon Stryker,64,Male,United States,New York,Healthcare,False,Increased
636,4,Daniel Tsai,66,Male,Taiwan,Taipei,Finance & Investments,False,Decreased
636,4,Richard Tsai,65,Male,Taiwan,Taipei,Finance & Investments,False,Decreased
636,4,Frank Wang,42,Male,China,Shenzhen,Technology,True,Decreased
636,4,Wang Junshi & family,74,Male,China,Ningbo,Manufacturing,True,Decreased
636,4,Wang Wenjing,58,Male,China,Beijing,Technology,True,Decreased
636,4,Herbert Wertheim,83,Male,United States,Coral Gables,Finance & Investments,True,Increased
659,4,Shari Arison,65,Female,Israel,Tel Aviv,Service,False,Decreased
659,4,Chan Laiwa & family,82,Female,China,Beijing,Real Estate,True,Decreased
659,4,Chen Hua,57,Male,China,Shenzhen,Real Estate,True,Increased
659,4,Thomas Hagen,87,Male,United States,Erie,Finance & Investments,False,Increased
659,4,"Rupert Johnson, Jr.",82,Male,United States,Burlingame,Finance & Investments,False,Decreased
659,4,Min Kao & family,74,Male,United States,Leawood,Technology,True,Decreased
659,4,Marc Ladreit de Lacharriere,82,Male,France,Paris,Finance & Investments,True,Increased
659,4,Eric Lefkofsky,53,Male,United States,Glencoe,Technology,True,Increased
659,4,Lin Bin,55,Male,United States,Shenzhen,Technology,True,Decreased
659,4,Lin Li,59,Male,China,Shenzhen,Finance & Investments,True,Decreased
659,4,Michael Moritz,68,Male,United States,San Francisco,Technology,True,Decreased
659,4,Jean (Gigi) Pritzker,60,Female,United States,Los Angeles,Service,False,Increased
659,4,E. Joe Shoen,73,Male,United States,Phoenix,Automotive,False,Increased
659,4,Jeff Skoll,58,Male,United States,Los Angeles,Technology,True,Decreased
659,4,Lynsi Snyder,40,Female,United States,Glendora,Food & Beverage,False,Remained Even
659,4,Djoko Susanto,73,Male,Indonesia,Jakarta,Fashion & Retail,True,Increased
659,4,Tahir & family,71,Male,Indonesia,Jakarta,Diversified,True,Increased
659,4,Peter Thiel,55,Male,United States,Los Angeles,Finance & Investments,True,Decreased
679,4,Andrej Babis,68,Male,Czech Republic,Prague,Food & Beverage,True,Decreased
679,4,Danielle Bellon & family,83,Female,France,Paris,Service,False,Increased
679,4,Hubert Burda,83,Male,Germany,Munich,Media & Entertainment,False,Increased
679,4,Nick Caporella,87,Male,United States,Plantation,Food & Beverage,True,Increased
679,4,John Catsimatidis,74,Male,United States,New York,Energy,True,Increased
679,4,Scott Cook,70,Male,United States,Woodside,Technology,True,Decreased
679,4,Luca Garavoglia,54,Male,Italy,Milan,Food & Beverage,False,Increased
679,4,Antti Herlin,66,Male,Finland,Kirkkonummi,Manufacturing,False,Decreased
679,4,Hong Jie,55,Male,China,Putian,Manufacturing,True,Increased
679,4,"Jeremy Jacobs, Sr. & family",83,Male,United States,East Aurora,Service,False,Increased
679,4,Igor Kesaev,56,Male,Russia,Moscow,Fashion & Retail,True,Increased
679,4,Mary Alice Dorrance Malone,73,Female,United States,Coatesville,Food & Beverage,False,Increased
679,4,Joao Moreira Salles,61,Male,Brazil,Rio de Janeiro,Diversified,False,Increased
679,4,Walther Moreira Salles Junior,66,Male,Brazil,Rio de Janeiro,Finance & Investments,False,Increased
679,4,Arturo Moreno,76,Male,United States,Phoenix,Sports,True,Increased
679,4,Peter Spuhler,63,Male,Switzerland,Weiningen,Manufacturing,True,Decreased
679,4,Donald Sterling,88,Male,United States,Beverly Hills,Real Estate,True,Increased
679,4,Kerry Stokes,82,Male,Australia,Perth,Diversified,True,Decreased
679,4,Ken Xie,60,Male,United States,Los Altos Hills,Technology,True,Decreased
679,4,Liangzhi Xie & family,57,Male,China,Beijing,Healthcare,True,Decreased
699,4,Sid Bass,80,Male,United States,Fort Worth,Energy,False,Increased
699,4,Ben Chestnut,48,Male,United States,Atlanta,Technology,True,Decreased
699,4,Guangchang Guo,56,Male,China,Shanghai,Diversified,True,Decreased
699,4,Vinod Rai Gupta,77,Female,India,Delhi,Manufacturing,False,Increased
699,4,John Henry,73,Male,United States,Boca Raton,Sports,True,Increased
699,4,Travis Kalanick,46,Male,United States,Los Angeles,Technology,True,Increased
699,4,Koon Poh Keong,61,Male,Malaysia,Petaling Jaya,Manufacturing,True,Decreased
699,4,Dan Kurzius,51,Male,United States,Atlanta,Technology,True,Decreased
699,4,Paul Lee,65,Male,United States,Yuxi,Manufacturing,True,Decreased
699,4,Tobi Lutke,42,Male,Canada,Ottawa,Technology,True,Decreased
699,4,Gail Miller,79,Female,United States,Salt Lake City,Automotive,True,Increased
699,4,Isaac Perlmutter,80,Male,United States,Palm Beach,Media & Entertainment,True,Decreased
699,4,"Bernard Saul, II.",90,Male,United States,Chevy Chase,Finance & Investments,False,Increased
699,4,Shaul Shani,68,Male,Israel,Milan,Telecom,True,Decreased
699,4,Steven Spielberg,76,Male,United States,Pacific Palisades,Media & Entertainment,True,Increased
699,4,Jerzy Starak,75,Male,Poland,Konstancin,Healthcare,True,Remained Even
699,4,Torbjorn Tornqvist,69,Male,Sweden,Geneva,Energy,True,Increased
699,4,Rufino Vigil Gonzalez,74,Male,Mexico,Mexico City,Metals & Mining,True,Increased
699,4,Zhang Daocai,73,Male,China,Shaoxing,Diversified,True,Increased
721,3,Juergen Blickle,76,Male,Germany,Bruchsal,Manufacturing,False,Decreased
721,3,"Austen Cargill, II.",72,Male,United States,Livingston,Food & Beverage,False,Decreased
721,3,"James Cargill, II.",73,Male,United States,Birchwood,Food & Beverage,False,Decreased
721,3,Vanich Chaiyawan,91,Male,Thailand,Bangkok,Finance & Investments,True,Increased
721,3,Dongsheng Chen,65,Male,China,Beijing,Finance & Investments,True,Increased
721,3,Mong-Koo Chung,85,Male,South Korea,Seoul,Automotive,False,Decreased
721,3,Kenneth Dart,67,Male,Belize,George Town,Finance & Investments,False,Increased
721,3,Giuseppe De'Longhi & family,83,Male,Italy,Treviso,Fashion & Retail,False,Decreased
721,3,Guenther Fielmann & family,83,Male,Germany,Hamburg,Healthcare,True,Decreased
721,3,W. Herbert Hunt,94,Male,United States,Dallas,Energy,False,Decreased
721,3,James Irsay,63,Male,United States,Carmel,Sports,False,Increased
721,3,Marianne Liebmann,69,Female,United States,Bozeman,Food & Beverage,False,Decreased
721,3,Jorge Moll Filho & family,78,Male,Brazil,Rio de Janeiro,Healthcare,True,Decreased
721,3,Fernando Roberto Moreira Salles,76,Male,Brazil,Sao Paulo,Diversified,False,Increased
721,3,Pedro Moreira Salles,63,Male,Brazil,Sao Paulo,Diversified,False,Increased
721,3,Gabe Newell,60,Male,United States,Seattle,Gambling & Casinos,True,Remained Even
721,3,Alfred Oetker,56,Male,Germany,Bielefeld,Fashion & Retail,False,Increased
721,3,Carl Ferdinand Oetker,50,Male,Germany,Bielefeld,Fashion & Retail,False,Increased
721,3,Julia Oetker,44,Female,Germany,Bielefeld,Fashion & Retail,False,Increased
721,3,Ruan Hongliang & family,62,Male,China,Jiaxing,Manufacturing,True,Decreased
721,3,Mark Stevens,63,Male,United States,Steamboat Springs,Finance & Investments,True,Decreased
721,3,Tsai Hong-tu,70,Male,Taiwan,Taipei,Finance & Investments,False,Decreased
721,3,Nusli Wadia,79,Male,India,Mumbai,Food & Beverage,False,Increased
721,3,Wu Yiling,73,Male,China,Shijiazhuang,Healthcare,True,Remained Even
721,3,Yu Renrong,57,Male,China,Ningbo,Manufacturing,True,Decreased
721,3,Zhu Baoguo & family,60,Male,China,Shenzhen,Healthcare,True,Decreased
748,3,Francesco Gaetano Caltagirone,80,Male,Italy,Rome,Construction & Engineering,True,Decreased
748,3,Barry Diller,81,Male,United States,New York,Media & Entertainment,True,Decreased
748,3,Wesley Edens,61,Male,United States,New York,Finance & Investments,True,Increased
748,3,Stephen Feinberg,63,Male,United States,New York,Finance & Investments,True,Increased
748,3,Rakesh Gangwal,69,Male,United States,Miami,Service,True,Decreased
748,3,Joseph Grendys,61,Male,United States,Chicago,Food & Beverage,True,Increased
748,3,Martha Ingram & family,87,Female,United States,Nashville,Media & Entertainment,False,Decreased
748,3,Li Xiang,41,Male,China,Beijing,Automotive,True,Decreased
748,3,"H. Ross Perot, Jr.",64,Male,United States,Dallas,Real Estate,False,Increased
748,3,Chandru Raheja,82,Male,India,Mumbai,Real Estate,False,Increased
748,3,Trevor Rees-Jones,71,Male,United States,Dallas,Energy,True,Decreased
748,3,Yasumitsu Shigeta,58,Male,Japan,Tokyo,Telecom,True,Increased
748,3,Tsai Cheng-ta,73,Male,Taiwan,Taipei,Finance & Investments,False,Decreased
748,3,Steven Udvar-Hazy,77,Male,United States,Westlake,Service,True,Decreased
766,3,William Berkley,76,Male,United States,Coconut Grove,Finance & Investments,True,Remained Even
766,3,Charles Cohen,71,Male,United States,New York,Real Estate,False,Increased
766,3,Yakir Gabay,56,Male,Cyprus,London,Real Estate,True,Decreased
766,3,Huang Li,59,Male,China,Wuhan,Technology,True,Decreased
766,3,Brad Jacobs,66,Male,United States,Greenwich,Logistics,True,Remained Even
766,3,Ji Qi,56,Male,China,Shanghai,Real Estate,True,Increased
766,3,Jason Jiang,50,Male,China,Shanghai,Media & Entertainment,True,Decreased
766,3,Jim Kavanaugh,60,Male,United States,St. Louis,Technology,True,Increased
766,3,Richard LeFrak & family,77,Male,United States,New York,Real Estate,False,Remained Even
766,3,Mikhail Lomtadze,47,Male,Georgia,Almaty,Finance & Investments,True,Increased
766,3,Tom Morris,68,Male,United Kingdom,Merseyside,Fashion & Retail,True,Increased
766,3,Shigenobu Nagamori,78,Male,Japan,Kyoto,Manufacturing,True,Decreased
766,3,Daniel Och,62,Male,United States,Miami Beach,Finance & Investments,True,Decreased
766,3,Horst Paulmann & family,88,Male,Chile,Santiago,Fashion & Retail,True,Increased
766,3,Anthony Pritzker,62,Male,United States,Los Angeles,Service,False,Remained Even
766,3,John Sall,75,Male,United States,Cary,Technology,True,Increased
766,3,Howard Schultz,69,Male,United States,Seattle,Food & Beverage,True,Decreased
766,3,Richard Schulze,82,Male,United States,Naples,Fashion & Retail,True,Decreased
766,3,Yitzhak Tshuva,74,Male,Israel,Netanya,Real Estate,True,Decreased
766,3,Wang Yanqing & family,56,Male,China,Wuxi,Manufacturing,True,Decreased
787,3,Leonid Boguslavsky,71,Male,Canada,Florence,Finance & Investments,True,Decreased
787,3,Jim Coulter,63,Male,United States,San Francisco,Finance & Investments,True,Increased
787,3,Bob Gaglardi,82,Male,Canada,Vancouver,Real Estate,True,Increased
787,3,Jaime Gilinski Bacal,65,Male,Colombia,London,Finance & Investments,False,Decreased
787,3,Pansy Ho,60,Female,Hong Kong,Hong Kong,Gambling & Casinos,False,Increased
787,3,Alan Howard,59,Male,United Kingdom,Geneva,Finance & Investments,True,Increased
787,3,Huang Yi,61,Male,Hong Kong,Beijing,Automotive,True,Decreased
787,3,Peter Kellogg,80,Male,United States,Short Hills,Finance & Investments,False,Remained Even
787,3,Vyacheslav Kim,53,Male,Kazakhstan,Almaty,Finance & Investments,True,Increased
787,3,Josh Kushner,37,Male,United States,New York City,Finance & Investments,True,Increased
787,3,Samuel Tak Lee,83,Male,Hong Kong,Hong Kong,Real Estate,False,Decreased
787,3,Edwin Leong,71,Male,Hong Kong,Hong Kong,Real Estate,True,Decreased
787,3,"Stephen Mandel, Jr.",67,Male,United States,Greenwich,Finance & Investments,True,Decreased
787,3,Mohamed Mansour,75,Male,Egypt,London,Diversified,True,Increased
787,3,Masahiro Miki,67,Male,Japan,Tokyo,Fashion & Retail,True,Increased
787,3,Masahiro Noda,84,Male,Japan,Tokyo,Technology,True,Increased
787,3,Cliff Obrecht,37,Male,Australia,Sydney,Technology,True,Decreased
787,3,Melanie Perkins,35,Female,Australia,Sydney,Technology,True,Decreased
787,3,J.B. Pritzker,58,Male,United States,Springfield,Finance & Investments,False,Remained Even
787,3,Juan Roig,73,Male,Spain,Valencia,Fashion & Retail,False,Decreased
787,3,Jerry Speyer,82,Male,United States,New York,Real Estate,True,Remained Even
787,3,Lawrence Stroll,63,Male,Canada,Geneva,Fashion & Retail,True,Increased
787,3,Tung Chee Chen,80,Male,Hong Kong,Hong Kong,Logistics,False,Remained Even
787,3,Wang Junlin,60,Male,China,Chengdu,Food & Beverage,True,Decreased
787,3,Xia Zuoquan,61,Male,China,Shenzhen,Automotive,True,Increased
787,3,Zeng Fangqin,57,Female,China,Shenzhen,Technology,True,Decreased
787,3,Zhang Jian,54,Male,China,Tianjin,Manufacturing,True,Increased
818,3,Maurizio Billi,65,Male,Brazil,Sao Paulo,Healthcare,False,Increased
818,3,Fashu Chen,62,Male,China,Fuzhou,Finance & Investments,True,Decreased
818,3,Giuseppe Crippa & family,87,Male,Italy,Cernusco Lombardone,Manufacturing,True,Increased
818,3,Daniel D'Aniello,76,Male,United States,Vienna,Finance & Investments,True,Decreased
818,3,Walter P.J. Droege,70,Male,Germany,Dusseldorf,Finance & Investments,True,Decreased
818,3,Peter Gassner,58,Male,United States,Pleasanton,Technology,True,Increased
818,3,Mikhail Gutseriev,65,Male,Russia,Moscow,Energy,True,Increased
818,3,Patrick Lee,81,Male,Hong Kong,Hong Kong,Manufacturing,True,Decreased
818,3,Leng Youbin,54,Male,China,Beijing,Food & Beverage,True,Decreased
818,3,Daniel Loeb,61,Male,United States,New York,Finance & Investments,True,Decreased
818,3,Margarita Louis-Dreyfus & family,60,Female,Switzerland,Davos,Food & Beverage,False,Decreased
818,3,Prasert Prasarttong-Osoth,90,Male,Thailand,Bangkok,Healthcare,True,Increased
818,3,Ira Rennert,88,Male,United States,New York,Finance & Investments,True,Decreased
818,3,Dirk Rossmann & family,76,Male,Germany,Lower-Saxony,Fashion & Retail,True,Increased
818,3,Arkady Rotenberg,71,Male,Russia,Moscow,Construction & Engineering,True,Increased
818,3,Remo Ruffini,61,Male,Italy,Como,Fashion & Retail,True,Increased
818,3,Vivek Chaand Sehgal,66,Male,Australia,Delhi,Automotive,True,Increased
818,3,Scott Shleifer,45,Male,United States,New York,Finance & Investments,True,Decreased
818,3,Thomas Siebel,70,Male,United States,Woodside,Technology,True,Remained Even
818,3,Wim van der Leegte & family,75,Male,Netherlands,Eindhoven,Manufacturing,False,Increased
818,3,Xiao Yongming & family,58,Male,China,Beijing,Diversified,True,Decreased
818,3,Michael Xie,54,Male,United States,Los Altos Hills,Technology,True,Increased
818,3,Yang Shaopeng,65,Male,China,Qingdao,Logistics,True,Decreased
818,3,Barry Zekelman,56,Male,Canada,Windsor,Manufacturing,False,Increased
852,3,William Ackman,56,Male,United States,New York,Finance & Investments,True,Increased
852,3,Somphote Ahunai,55,Male,Thailand,Bangkok,Energy,True,Decreased
852,3,Igor Altushkin,52,Male,Russia,Yekaterinburg,Metals & Mining,True,Increased
852,3,Ramon Ang,69,Male,Philippines,Manila,Food & Beverage,True,Increased
852,3,Acharya Balkrishna,50,Male,India,Haridwar,Food & Beverage,True,Increased
852,3,Markus Blocher,52,Male,Switzerland,Wilen bei Wollerau,Manufacturing,False,Increased
852,3,Richard Branson,72,Male,United Kingdom,Necker Island,Diversified,True,Decreased
852,3,Cho Jung-ho,64,Male,South Korea,Seoul,Finance & Investments,False,Increased
852,3,Alessandra Garavoglia,63,Female,Italy,Milan,Food & Beverage,False,Increased
852,3,Laurence Graff & family,84,Male,United Kingdom,Gstaad,Fashion & Retail,True,Remained Even
852,3,"Amos Hostetter, Jr.",86,Male,United States,Boston,Media & Entertainment,True,Decreased
852,3,Steven Klinsky,66,Male,United States,New York,Finance & Investments,True,Remained Even
852,3,William Lauder,62,Male,United States,New York,Fashion & Retail,False,Decreased
852,3,John Middleton,68,Male,United States,Bryn Mawr,Food & Beverage,False,Remained Even
852,3,Hiroshi Mikitani,58,Male,Japan,Tokyo,Fashion & Retail,True,Decreased
852,3,Bob Parsons,72,Male,United States,Scottsdale,Technology,True,Remained Even
852,3,J. Joe Ricketts & family,81,Male,United States,Little Jackson Hole,Finance & Investments,True,Decreased
852,3,Herb Simon,88,Male,United States,Indianapolis,Real Estate,True,Decreased
852,3,Leena Tewari,65,Female,India,Mumbai,Healthcare,False,Decreased
852,3,Stefan von Holtzbrinck,59,Male,Germany,Stuttgart,Media & Entertainment,False,Increased
852,3,Hans Peter Wild,81,Male,Switzerland,Zug,Food & Beverage,False,Decreased
852,3,Wu Guanjiang & family,54,Male,China,Chongqing,Healthcare,True,Decreased
852,3,Yi Zheng,52,Male,China,Hangzhou,Technology,True,Increased
852,3,Eric Yuan & family,53,Male,United States,Santa Clara,Technology,True,Decreased
852,3,Charles Zegar,75,Male,United States,New York,Media & Entertainment,True,Increased
878,3,Mohed Altrad,75,Male,France,Montpellier,Construction & Engineering,True,Decreased
878,3,John Arnold,49,Male,United States,Houston,Finance & Investments,True,Remained Even
878,3,Bill Austin,81,Male,United States,Brownsville,Manufacturing,True,Increased
878,3,Chen Shibin,56,Male,China,Lianyungang,Manufacturing,True,Increased
878,3,Bennett Dorrance,77,Male,United States,Paradise Valley,Food & Beverage,False,Increased
878,3,Walter Faria,68,Male,Brazil,Rio de Janeiro,Food & Beverage,True,Remained Even
878,3,Walter Frey,79,Male,Switzerland,Küsnacht,Automotive,False,Increased
878,3,Fu Liquan & family,55,Male,China,Hangzhou,Technology,True,Decreased
878,3,John Gandel,88,Male,Australia,Melbourne,Real Estate,False,Remained Even
878,3,Peter Gilgan,72,Male,Canada,Oakville,Construction & Engineering,True,Increased
878,3,Kwek Leng Beng,82,Male,Singapore,Singapore,Diversified,False,Increased
878,3,Pablo Legorreta,59,Male,United States,Sag Harbor,Finance & Investments,True,Decreased
878,3,Arnon Milchan,78,Male,Israel,Tel Aviv,Media & Entertainment,True,Decreased
878,3,Akio Nitori,79,Male,Japan,Hokkaido,Fashion & Retail,True,Decreased
878,3,Julio Ponce Lerou,77,Male,Chile,Santiago,Metals & Mining,True,Decreased
878,3,Rodger Riney & family,77,Male,United States,St. Louis,Finance & Investments,True,Decreased
878,3,Phil Ruffin,88,Male,United States,Las Vegas,Diversified,True,Increased
878,3,Naguib Sawiris,68,Male,Egypt,Cairo,Telecom,False,Decreased
878,3,Neil Shen,55,Male,Hong Kong,Hong Kong,Finance & Investments,True,Decreased
878,3,Gil Shwed,54,Male,Israel,Tel Aviv,Technology,True,Decreased
878,3,Stephen Smith,71,Male,Canada,Toronto,Finance & Investments,True,Increased
878,3,Nik Storonsky,38,Male,United Kingdom,London,Finance & Investments,True,Decreased
878,3,Jeffrey Talpins,48,Male,United States,Larchmont,Finance & Investments,True,Increased
878,3,Carl Thoma,74,Male,United States,Dallas,Finance & Investments,True,Increased
878,3,Todd Wanek,59,Male,United States,St. Petersburg,Manufacturing,False,Decreased
878,3,Xue Hua,53,Male,China,Guangzhou,Manufacturing,True,Decreased
878,3,Takao Yasuda,73,Male,Japan,Singapore,Fashion & Retail,True,Increased
905,3,Giuliana Benetton,85,Female,Italy,Treviso,Fashion & Retail,True,Increased
905,3,Luciano Benetton,87,Male,Italy,Ponzano Veneto,Fashion & Retail,True,Increased
905,3,Arun Bharat Ram,82,Male,India,Delhi,Manufacturing,False,Decreased
905,3,Ron Burkle,70,Male,United States,London,Finance & Investments,True,Increased
905,3,Chen Kaixuan,64,Male,China,Guangzhou,Manufacturing,True,Decreased
905,3,Brunello Cucinelli & family,69,Male,Italy,Solomeo,Fashion & Retail,True,Increased
905,3,Antonio Del Valle Ruiz & family,84,Male,Mexico,Mexico City,Manufacturing,True,Decreased
905,3,Dong Jinggui,53,Male,China,Wuxi,Automotive,True,Increased
905,3,Charles Ergen,70,Male,United States,Denver,Media & Entertainment,True,Decreased
905,3,David Filo,56,Male,United States,Palo Alto,Technology,True,Decreased
905,3,Lindsay Fox,85,Male,Australia,Melbourne,Logistics,True,Increased
905,3,Sergei Galitsky,55,Male,Russia,Krasnodar,Fashion & Retail,True,Remained Even
905,3,Senapathy Gopalakrishnan,67,Male,India,Bangalore,Technology,True,Decreased
905,3,Luciano Hang,60,Male,Brazil,Brusque,Fashion & Retail,True,Decreased
905,3,Michael Hintze,69,Male,Australia,London,Finance & Investments,True,Remained Even
905,3,Hu Baifan,60,Male,China,Shaoxing,Healthcare,True,Decreased
905,3,Hamilton James & family,71,Male,United States,New York,Finance & Investments,True,Increased
905,3,Lee Boo-jin,52,Female,South Korea,Seoul,Technology,False,Decreased
905,3,Li Liangbin,55,Male,China,Xinyu,Manufacturing,True,Decreased
905,3,Liang Feng,54,Male,China,Shanghai,Manufacturing,True,Decreased
905,3,Samir Mehta,59,Male,India,Ahmedabad,Healthcare,False,Increased
905,3,Sudhir Mehta,68,Male,India,Ahmedabad,Healthcare,False,Increased
905,3,Aristotelis Mistakidis,61,Male,Greece,Zug,Metals & Mining,True,Decreased
905,3,Roger Penske,86,Male,United States,Birmingham,Automotive,True,Increased
905,3,Ravi Pillai,69,Male,India,Dubai,Construction & Engineering,True,Increased
905,3,David Rubenstein,73,Male,United States,Bethesda,Finance & Investments,True,Decreased
905,3,Hilton Schlosberg,70,Male,United Kingdom,Irvine,Food & Beverage,True,Increased
905,3,Klaus-Peter Schulenberg,71,Male,Germany,Bremen,Service,True,Increased
905,3,Lynn Schusterman,84,Female,United States,Tulsa,Energy,False,Decreased
905,3,Isabella Seràgnoli,77,Female,Italy,Bologna,Manufacturing,False,Increased
905,3,Shen Guojun,60,Male,China,Beijing,Fashion & Retail,True,Decreased
905,3,Warren Stephens,66,Male,United States,Little Rock,Finance & Investments,False,Increased
905,3,Pat Stryker,66,Female,United States,Fort Collins,Healthcare,False,Increased
905,3,Roman Trotsenko,52,Male,Russia,Moscow,Logistics,True,Returned to List
905,3,Vincent Viola,67,Male,United States,New York,Finance & Investments,True,Decreased
905,3,Wu Shaoxun,67,Male,China,Daye,Food & Beverage,True,Decreased
905,3,Steve Wynn,81,Male,United States,Palm Beach,Gambling & Casinos,True,Decreased
905,3,Jon Yarbrough,65,Male,United States,Franklin,Gambling & Casinos,True,Increased
905,3,Zhou Bajin,87,Male,China,Changzhou,Manufacturing,True,Decreased
949,3,Cho Tak Wong,76,Male,Hong Kong,Fuqing,Manufacturing,True,Decreased
949,3,John Coates,53,Male,United Kingdom,Stoke-On-Trent,Gambling & Casinos,True,Increased
949,3,Ryan Cohen,37,Male,Canada,Bal Harbour,Finance & Investments,True,Increased
949,3,Deng Wen,55,Male,China,Chengdu,Food & Beverage,True,Increased
949,3,Gurbachan Singh Dhingra,72,Male,India,Delhi,Manufacturing,True,Decreased
949,3,Kuldip Singh Dhingra,75,Male,India,Delhi,Manufacturing,True,Decreased
949,3,Martin Ebner,77,Male,Switzerland,Wilen,Finance & Investments,True,Decreased
949,3,Charles Edelstenne,85,Male,France,Paris,Manufacturing,True,Decreased
949,3,Sergei Gordeev,50,Male,Russia,Moscow,Real Estate,True,Increased
949,3,Jeff T. Green,46,Male,United States,Newbury Park,Media & Entertainment,True,Decreased
949,3,Reed Hastings,62,Male,United States,Santa Cruz,Technology,True,Decreased
949,3,Bertil Hult,82,Male,Sweden,Lucerne,Service,True,Decreased
949,3,Miguel Krigsner,73,Male,Brazil,Sao Jose dos Pinhais,Fashion & Retail,True,Decreased
949,3,Kuok Khoon Hong,73,Male,Singapore,Singapore,Manufacturing,False,Decreased
949,3,Aerin Lauder,52,Female,United States,New York,Fashion & Retail,False,Decreased
949,3,Sheldon Lavin,90,Male,United States,Highland Park,Food & Beverage,True,Increased
949,3,Yin Yee Lee,71,Male,China,Hong Kong,Manufacturing,True,Decreased
949,3,Vladimir Litvinenko & family,67,Male,Russia,Saint Petersburg,Manufacturing,True,Returned to List
949,3,Daniel Mate,59,Male,Spain,Kanton Schwyz,Metals & Mining,True,Decreased
949,3,Ravi Modi,46,Male,India,Kolkata,Fashion & Retail,True,Increased
949,3,Farhad Moshiri,67,Male,United Kingdom,Monaco,Diversified,True,Increased
949,3,Jonathan Nelson,66,Male,United States,Providence,Finance & Investments,True,Increased
949,3,Or Wai Sheun,71,Male,Hong Kong,Hong Kong,Real Estate,True,Decreased
